경기날짜,팀,팀1점수,팀2점수,승패,점수차
19.11. 23:45,예멘,2,0,0,-2
19.11. 21:45,카타르,0,1,2,1
19.11. 21:00,이라크,0,2,2,2
19.11. 21:00,우즈베키스탄,0,2,2,2
19.11. 20:35,사우디아라비아,0,0,1,0
19.11. 19:30,오만,0,1,2,1
16.11. 01:30,이라크,2,1,0,-1
16.11. 00:35,레바논,0,0,1,0
16.11. 00:30,홍콩,4,0,0,-4
15.11. 23:45,말레이시아,1,0,0,-1
15.11. 21:00,우즈베키스탄,0,3,2,3
15.11. 21:00,카타르,1,4,2,3
15.11. 21:00,이란,0,3,2,3
15.11. 20:35,인도네시아,1,0,0,-1
15.11. 19:30,싱가포르,4,0,0,-4
16.10. 01:30,사우디아라비아,0,2,2,2
16.10. 00:30,태국,2,1,0,-1
16.10. 00:00,오만,0,0,1,0
15.10. 23:30,쿠웨이트,1,1,1,0
15.10. 22:00,베트남,3,1,0,-2
15.10. 21:45,말레이시아,1,1,1,0
15.10. 21:00,중국,1,1,1,0
15.10. 21:00,아랍에미리트,0,4,2,4
15.10. 20:30,시리아,2,1,0,-1
14.10. 01:30,예멘 ,6,0,0,-6
15.08. 23:30,요르단,1,1,1,0
14.08. 20:30,오만,0,2,2,2
27.03. 01:35,이란,1,1,1,0
23.03. 21:00,사우디아라비아,1,2,2,1
23.03. 00:45,카타르,1,0,0,-1
23.03. 00:30,태국,5,2,0,-3
22.03. 22:45,우즈베키스탄,2,1,0,-1
22.03. 21:45,예멘,2,1,0,-1
22.03. 21:00,베트남,1,0,0,-1
22.03. 20:35,이라크 ,1,0,0,-1
07.02. 02:15,중국,2,1,0,-1
07.02. 00:30,말레이시아,2,0,0,-2
07.02. 00:15,바레인,0,2,2,2
06.02. 23:00,싱가포르,4,0,0,-4
06.02. 22:30,인도네시아,1,0,0,-1
06.02. 22:15,시리아,1,0,0,-1
06.02. 21:00,레바논 ,5,0,0,-5
06.02. 21:00,쿠웨이트,1,3,2,2
06.02. 20:00,아랍에미리트,1,2,2,1
06.02. 20:00,홍콩 ,0,0,1,0
