age,cap,goal,name,club
28,48,3,Hassan Muath Fallatah,Al-Shabab
22,10,0,Yasser Al-Shahrani,Al-Hilal
34,125,6,Saud Kariri,Al-Hilal
24,15,0,Ibrahim Ghaleb,Al-Nassr
22,7,3,Motaz Hawsawi,Al-Ahli
30,90,10,Taisir Al-Jassim,Al-Ahli
23,17,2,Salem Al-Dawsari,Al-Hilal
20,15,5,Fahad Al-Muwallad,Al-Ittihad
24,23,2,Nawaf Al Abed,Al-Hilal
22,1,0,Abdullah Al-Sudairy,Al-Hilal
24,2,0,Abdullah Al-Enezi,Al-Nassr
30,45,0,Majed Al-Marshedi,Al-Shabab
28,30,0,Zeng Cheng,Guangzhou Evergrande
25,10,0,Ren Hang,Jiangsu Sainty
25,8,0,Mei Fang,Guangzhou Evergrande
25,7,0,Jiang Zhipeng,Guangzhou R&F
25,41,4,Zhang Linpeng,Guangzhou Evergrande
21,1,0,Li Ang,Jiangsu Sainty
23,22,5,Wu Lei,Shanghai SIPG
25,8,0,Cai Huikang,Shanghai SIPG
27,33,14,Yang Xu,Shandong Luneng
34,81,15,Zheng Zhi,Guangzhou Evergrande
27,49,12,Hao Junmin,Shandong Luneng
23,0,0,Yan Junling,Shanghai SIPG
27,41,0,Liu Jianye,Jiangsu Sainty
24,2,0,Ji Xiang,Jiangsu Sainty
25,21,1,Wu Xi,Jiangsu Sainty
25,22,4,Sun Ke,Jiangsu Sainty
25,14,0,Zhang Chengdong,Beijing Guoan
28,79,18,Gao Lin,Guangzhou Evergrande
21,2,0,Liu Binbin,Shandong Luneng
27,36,6,Yu Hanchao,Guangzhou Evergrande
27,50,10,Yu Hai,Guizhou Renhe
21,4,0,Liao Lisheng,Guangzhou Evergrande
25,10,0,Wang Dalei,Shandong Luneng
28,61,0,Ri Myong-guk,Pyongyang City
25,0,0,Ri Chang-ho,Rimyongsu
23,10,2,Jang Song-hyok,Rimyongsu
26,35,2,Jon Kwang-ik,Amrokgang
27,3,0,Han Song-hyok,Rimyongsu
24,12,2,Ro Hak-su,Rimyongsu
24,2,2,Ri Sang-chol,Rimyongsu
33,21,4,Ryang Yong-gi,Vegalta Sendai
27,31,10,Pak Song-chol,Rimyongsu
22,12,3,Pak Kwang-ryong,Basel
22,25,6,Jong Il-gwan,Rimyongsu
22,1,0,Om Chol-song,April 25
24,9,1,Sim Hyon-jin,April 25
22,2,1,Kye Song-hyok,April 25
20,11,2,Jang Kuk-chol,Hwaebul
29,45,1,Cha Jong-hyok,Wil 1900
22,3,0,So Hyon-uk,April 25
26,0,0,Ri Kwang-il,April 25
23,0,0,Ri Yong-jik,Tokushima Vortis
22,4,0,Choe Won,Hwaebul
23,3,1,O Hyok-chol,April 25
24,14,0,Ju Kwang-min,Rimyongsu
26,10,0,Alireza Haghighi,Penafiel
31,53,0,Khosro Heydari,Esteghlal
24,66,3,Ehsan Hajsafi,Sepahan
32,89,6,Jalal Hosseini,Al-Ahli
33,20,1,Amir Hossein Sadeghi,Esteghlal
34,145,37,Javad Nekounam,Osasuna
30,54,5,Masoud Shojaei,Al-Shahania
22,1,0,Morteza Pouraliganji,Naft Tehran
27,7,0,Omid Ebrahimi,Esteghlal
24,45,9,Karim Ansarifard,Osasuna
27,2,0,Vouria Ghafouri,Sepahan
26,2,0,Mohsen Forouzan,Esteghlal
26,1,0,Vahid Amiri,Naft Tehran
31,84,8,Andranik Teymourian,Tractor Sazi
24,1,0,Ramin Rezaeian,Rah Ahan
27,19,11,Reza Ghoochannejhad,Charlton Athletic
24,2,0,Soroush Rafiei,Foolad
21,12,1,Alireza Jahanbakhsh,NEC
23,7,0,Mohammad Reza Khanzadeh,Persepolis
20,4,2,Sardar Azmoun,Rubin Kazan
28,19,4,Ashkan Dejagah,Al-Arabi
22,1,0,Alireza Beiranvand,Naft Tehran
27,24,0,Mehrdad Pooladi,Al-Shahania
30,64,0,Majed Naser,Al-Wasl
24,4,0,Hassan Ibrahim Saqer,Al-Shabab
29,15,4,Walid Abbas,Al-Ahli
24,14,7,Habib Fardan,Al-Nasr
25,37,2,Amer Abdulrahman,Baniyas
29,3,0,Mohanad Salem,Al-Ain
24,31,20,Ali Mabkhout,Al-Jazira
25,31,0,Hamdan Al-Kamali,Al-Wahda
24,9,0,Abdulaziz Hussain,Al-Ahli
23,26,5,Omar Abdulrahman,Al-Ain
23,57,24,Ahmed Khalil,Al-Ahli
25,0,0,Khalid Eisa,Al-Ain
25,6,0,Khamis Esmaeel,Al-Jazira
25,2,0,Abdelaziz Sanqour,Al-Ahli
26,51,7,Ismail Al Hammadi,Al-Ahli
26,2,0,Mohamed Abdulrahman,Al-Ain
22,3,1,Majed Hassan,Al-Ahli
23,0,0,Salem Saleh,Al-Wahda
31,1,0,Mohamed Ismail Ahmed Ismail,Al-Ain
26,15,4,Saeed Al-Kathiri,Al-Wahda
25,8,0,Haboush Saleh,Baniyas
23,0,0,Mohamed Yousif,Sharjah
25,9,0,Mohamed Ahmed,Al-Ain
29,66,0,Qasem Burhan,Al-Gharafa
28,24,0,Mohammed Musa,Lekhwiya
21,28,4,Abdelkarim Hassan,Al-Sadd
22,12,1,Almahdi Ali Mukhtar,Al-Sadd
24,19,0,Abdulaziz Hatem,Al-Arabi
28,103,2,Bilal Mohammed,Al-Gharafa
22,26,1,Khalid Muftah,Lekhwiya
21,10,3,Ali Assadalla,Al-Sadd
30,33,6,Meshal Abdullah,Al-Ahli
26,81,22,Khalfan Ibrahim,Al-Sadd
24,49,3,Hassan Al-Haydos,Al-Sadd
29,56,8,Magid Mohamed,El-Jaish
24,67,4,Ibrahim Majid,Al-Sadd
25,4,0,Khalid Abdulraouf,El-Jaish
24,2,1,Abdurahman Abubakar,El-Jaish
24,11,6,Boualem Khoukhi,Al-Arabi
24,14,0,Ismaeel Mohammad,Lekhwiya
27,0,0,Tresor Kangambu,Lekhwiya
21,0,0,Mohammed Muntari,El-Jaish
25,9,0,Karim Boudiaf,Lekhwiya
24,2,0,Ahmed Soufiane,El-Jaish
24,15,0,Saad Al Sheeb,Al-Sadd
25,9,1,Ahmed Abdul Maqsoud,Umm-Salal
29,54,0,Sayed Jaffer,Muharraq
34,90,8,Mohamed Husain,Al-Nassr
26,8,0,Waleed Al-Hayam,Muharraq
22,16,4,Sayed Saeed,Al-Riffa
21,1,0,Abdulla Shallal,Al-Riffa
26,5,0,Abdulla Yaser,Muharraq
30,36,1,Abdulwahab Al-Safi,Al-Qadisiyah
23,9,0,Sayed Ahmed,Al-Busaiteen
25,15,1,Abdulwahab Al-Malood,Hidd
25,10,5,Mohammed Tayeb Al Alawi,Al-Riffa
28,61,29,Ismail Abdul-Latif,Muharraq
29,59,16,Faouzi Aaish,Al-Sailiya
24,27,0,Abdulla Al-Haza'a,Hidd
29,45,21,Jaycee John Okwunwanne,Al-Mesaimeer
28,42,3,Abdullah Omar,Muharraq
21,0,0,Abdulla Yusuf Helal,East Riffa
32,71,1,Hussain Ali Baba,Muharraq
25,23,0,Mohamed Duaij Mahorfi,Al-Riffa
26,0,0,Faisal Bodahoom,East Riffa
25,37,4,Sami Al-Husaini,Al-Busaiteen
25,1,0,Hamed Al-Doseri,Al-Riffa
23,0,0,Ashraf Waheed Al Sebaie,Manama
25,16,0,Rashed Al Hooti,Al-Riffa
31,64,0,Eiji Kawashima,Standard Liège
20,0,0,Naomichi Ueda,Kashima Antlers
27,3,0,Kosuke Ota,FC Tokyo
28,65,24,Keisuke Honda,Milan
28,76,3,Yuto Nagatomo,Internazionale
27,17,1,Masato Morishige,FC Tokyo
34,148,14,Yasuhito Endō,Gamba Osaka
25,26,1,Hiroshi Kiyotake,Hannover 96
28,84,40,Shinji Okazaki,Mainz 05
25,63,19,Shinji Kagawa,Borussia Dortmund
29,6,1,Yōhei Toyoda,Sagan Tosu
28,15,0,Shusaku Nishikawa,Urawa Red Diamonds
27,2,0,Yu Kobayashi,Kawasaki Frontale
22,6,1,Yoshinori Muto,FC Tokyo
31,84,2,Yasuyuki Konno,Gamba Osaka
26,2,0,Tsukasa Shiotani,Sanfrecce Hiroshima
30,83,2,Makoto Hasebe,Eintracht Frankfurt
26,14,2,Takashi Inui,Eintracht Frankfurt
22,0,0,Gen Shoji,Kashima Antlers
22,4,1,Gaku Shibasaki,Kashima Antlers
23,19,0,Gōtoku Sakai,VfB Stuttgart
26,49,3,Maya Yoshida,Southampton
28,0,0,Masaaki Higashiguchi,Gamba Osaka
32,117,0,Amer Shafi,Al-Wehdat
21,12,0,Rajaei Ayed,Al-Wehdat
22,15,0,Tareq Khattab,Al-Shabab
20,1,0,Samir Raja,Al-Wehdat
25,27,0,Mohammad Mustafa,Al-Khor
24,38,6,Saeed Murjan,Al-Ramtha
24,3,0,Mahmoud Za'tara,Al-Wehdat
28,84,10,Odai Al-Saify,Al-Salmiya
20,4,0,Ahmed Sariweh,Al-Qadisiyah
31,49,18,Ahmad Hayel,Al-Arabi
23,30,0,Oday Zahran,Shabab Al-Ordon
32,7,0,Moataz Yaseen,That Ras
23,45,6,Khalil Bani Attiah,Al-Faisaly
27,97,20,Abdallah Deeb,Al-Riffa
22,6,0,Mohammad Al-Dawud,Hidd
22,9,0,Munther Abu Amarah,Al-Wehdat
20,2,0,Saleh Rateb,Al-Wehdat
24,4,0,Ahmed Elias,Al-Wehdat
26,71,3,Anas Bani Yaseen,Al-Raed
23,21,4,Hamza Al-Dardour,Al-Khaleej
27,48,2,Mohammad Al-Dmeiri,Al-Ittihad
