age,cap,goal,name,club,nation
28,4,2,Vokhid Shodiev,Bunyodkor,uzbekistan
28,36,5,Sanzhar Tursunov,Vorskla Poltava,uzbekistan
33,111,10,Timur Kapadze,Lokomotiv Tashkent,uzbekistan
27,48,1,Vitaliy Denisov,Lokomotiv Moscow,uzbekistan
25,37,0,Islom Tukhtakhodjaev,Lokomotiv Tashkent,uzbekistan
25,0,0,Akbar Turaev,Bunyodkor,uzbekistan
23,2,0,Farrukh Sayfiev,Nasaf Qarshi,uzbekistan
28,14,0,Akmal Shorakhmedov,Bunyodkor,uzbekistan
28,58,0,Waleed Abdullah,Al-Shabab,saudi
23,6,0,Saeed Al Mowalad,Al-Ahli,saudi
30,103,6,Osama Hawsawi,Al-Ahli,saudi
27,37,1,Abdullah Al-Zori,Al-Hilal,saudi
29,6,0,Omar Hawsawi,Al-Nassr,saudi
21,8,0,Mustafa Al-Bassas,Al-Ahli,saudi
25,5,0,Salman Al-Faraj,Al-Hilal,saudi
24,20,0,Yahya Al-Shehri,Al-Nassr,saudi
25,46,9,Naif Hazazi,Al-Shabab,saudi
27,7,4,Mohammad Al-Sahlawi,Al-Nassr,saudi
25,9,0,Waleed Bakshween,Al-Ahli,saudi
28,48,3,Hassan Muath Fallatah,Al-Shabab,saudi
22,10,0,Yasser Al-Shahrani,Al-Hilal,saudi
34,125,6,Saud Kariri,Al-Hilal,saudi
24,15,0,Ibrahim Ghaleb,Al-Nassr,saudi
22,7,3,Motaz Hawsawi,Al-Ahli,saudi
30,90,10,Taisir Al-Jassim,Al-Ahli,saudi
23,17,2,Salem Al-Dawsari,Al-Hilal,saudi
20,15,5,Fahad Al-Muwallad,Al-Ittihad,saudi
24,23,2,Nawaf Al Abed,Al-Hilal,saudi
22,1,0,Abdullah Al-Sudairy,Al-Hilal,saudi
24,2,0,Abdullah Al-Enezi,Al-Nassr,saudi
30,45,0,Majed Al-Marshedi,Al-Shabab,saudi
28,30,0,Zeng Cheng,Guangzhou Evergrande,china
