seq,gameday,team,shoot,foul,possession,weater,temp,rank,salary,goal
12,29-Jan-11. 18:00,일본,3,14,55,4,20,17,4180995,1
51,29-Jan-11. 18:00,오스트레일리아,8,22,45,4,20,20,4910670,1
35,28-Jan-11. 18:00,우즈베키스탄,5,15,57,1,22,73,187874,2
24,28-Jan-11. 18:00,한국,4,10,43,1,22,31,2308955,3
34,25-Jan-11. 19:25,우즈베키스탄,3,9,67,4,21,73,187874,0
53,25-Jan-11. 19:25,오스트레일리아,14,13,33,4,21,20,4910670,6
23,25-Jan-11. 16:25,한국,7,24,43,4,17,31,2308955,2
9,25-Jan-11. 16:25,일본,8,35,57,4,17,17,4180995,3
50,22-Jan-11. 16:25,오스트레일리아,10,28,55,1,20,20,4910670,1
58,22-Jan-11. 16:25,이란,2,27,50,1,20,42,1556555,0
22,22-Jan-11. 16:25,한국,3,29,50,1,20,31,2308955,1
31,22-Jan-11. 16:25,이라크,3,17,45,1,20,91,6118,0
44,21-Jan-11. 19:25,요르단,5,13,35,1,17,81,4410,1
33,21-Jan-11. 19:25,우즈베키스탄,5,11,65,1,17,73,187874,2
8,21-Jan-11. 16:25,일본,6,17,59,1,17,17,4180995,3
3,21-Jan-11. 16:25,카타르,7,18,41,1,17,92,11295,2
60,19-Jan-11. 19:15,이란,3,18,50,3,18,42,1556555,3
62,19-Jan-11. 19:15,아랍에미리트,3,18,50,3,18,113,7380,0
27,19-Jan-11. 19:15,북한,4,15,52,3,18,124,233211,0
29,19-Jan-11. 19:15,이라크,5,18,48,3,18,91,6118,1
18,18-Jan-11. 16:15,인도,4,17,35,3,19,160,1817,1
20,18-Jan-11. 16:15,한국,20,9,65,3,19,31,2308955,4
56,18-Jan-11. 16:15,바레인,4,10,54,1,19,101,125236,0
49,18-Jan-11. 16:15,오스트레일리아,5,18,46,1,19,20,4910670,1
14,17-Jan-11. 16:15,사우디아라비아,3,7,48,4,20,98,577598,0
11,17-Jan-11. 16:15,일본,9,23,52,4,20,17,4180995,5
47,17-Jan-11. 16:15,시리아,7,19,62,4,20,106,138091,1
42,17-Jan-11. 16:15,요르단,1,17,38,4,20,81,4410,2
39,16-Jan-11. 19:15,중국,7,17,35,4,24,70,143168,2
37,16-Jan-11. 19:15,우즈베키스탄,7,20,65,4,24,73,187874,2
1,16-Jan-11. 19:15,카타르,6,23,43,4,24,92,11295,3
6,16-Jan-11. 19:15,쿠웨이트,1,16,57,4,24,96,10350,0
30,15-Jan-11. 19:15,이라크,4,24,56,1,23,91,6118,1
61,15-Jan-11. 19:15,아랍에미리트,4,7,44,1,23,113,7380,0
26,15-Jan-11. 16:15,북한,4,22,51,1,23,124,233211,0
57,15-Jan-11. 16:15,이란,2,26,49,1,23,42,1556555,1
54,14-Jan-11. 19:15,바레인,9,15,62,4,15,101,125236,5
17,14-Jan-11. 19:15,인도,6,11,38,4,15,160,1817,2
