경기날짜,팀,팀1점수,팀2점수,승패,점수차
14.01. 20:30,이란,6,0,2,6
23.04. 20:00,몰디브,1,2,0,-1
10.04. 00:00,레바논,4,0,2,4
30.01. 00:00,일본 ,0,1,2,1
29.01. 00:00,대한민국 ,2,3,2,1
26.01. 01:25,호주 ,0,6,2,6
25.01. 22:25,대한민국,3,2,0,-1
23.01. 01:25,대한민국 ,0,1,2,1
22.01. 22:25,이라크,1,0,0,-1
22.01. 01:25,요르단,2,1,0,-1
21.01. 22:25,카타르,3,2,0,-1
20.01. 01:15,이란,0,3,2,3
20.01. 01:15,북한,1,0,0,-1
18.01. 22:15,인도,4,1,0,-3
18.01. 22:15,바레인,1,0,0,-1
17.01. 22:15,일본,0,5,2,5
17.01. 22:15,시리아,2,1,0,-1
17.01. 01:15,우즈베키스탄,2,2,1,0
17.01. 01:15,쿠웨이트,3,0,0,-3
16.01. 01:15,이라크,0,1,2,1
15.01. 22:15,북한,1,0,0,-1
15.01. 01:15,인도,5,2,0,-3
14.01. 22:15,대한민국,1,1,1,0
14.01. 01:15,일본,1,2,2,1
13.01. 22:15,사우디아라비아,1,0,0,-1
13.01. 01:15,카타르,0,2,2,2
12.01. 22:15,쿠웨이트,2,1,0,-1
12.01. 01:15,이란,1,2,2,1
11.01. 22:15,아랍에미리트,0,0,1,0
11.01. 01:15,바레인,2,1,0,-1
10.01. 22:15,호주,0,4,2,4
10.01. 01:15,시리아,1,2,2,1
09.01. 22:15,요르단,1,1,1,0
08.01. 22:15,중국,0,2,2,2
08.01. 01:15,우즈베키스탄,0,2,2,2
04.03. 01:00,싱가포르,2,1,0,-1
04.03. 01:00,태국,1,0,0,-1
04.03. 00:30,쿠웨이트,0,0,1,0
03.03. 22:00,아랍에미리트,0,1,2,1
03.03. 21:30,레바논,4,0,0,-4
03.03. 21:00,예멘,0,0,1,0
03.03. 19:00,바레인,2,0,0,-2
03.03. 18:00,인도네시아,1,0,0,-1
20.01. 22:15,바레인,3,0,0,-3
17.01. 21:00,중국,1,2,2,1
07.01. 00:00,홍콩,4,0,0,-4
07.01. 00:00,말레이시아,1,0,0,-1
06.01. 23:30,호주,2,2,1,0
06.01. 22:15,일본,2,3,2,1
06.01. 21:15,베트남,1,1,1,0
06.01. 21:00,요르단,0,0,1,0
06.01. 20:30,이란,1,3,2,2
06.01. 20:30,오만,1,2,2,1
06.01. 20:30,시리아,0,0,1,0
23.11. 01:00,이란,1,0,0,-1
22.11. 21:05,레바논,1,0,0,-1
18.11. 23:45,예멘,4,0,0,-4
18.11. 21:00,베트남,0,0,1,0
18.11. 20:30,쿠웨이트,1,1,1,0
18.11. 20:30,싱가포르,0,1,2,1
18.11. 19:30,일본,0,4,2,4
18.11. 18:30,우즈베키스탄,1,3,2,2
15.11. 00:40,인도네시아,2,1,0,-1
15.11. 00:00,중국,0,2,2,2
14.11. 23:30,요르단,1,0,0,-1
14.11. 23:00,호주,1,2,2,1
14.11. 21:00,시리아,0,1,2,1
14.11. 20:30,태국,1,3,2,2
14.11. 20:00,말레이시아,3,1,0,-2
14.10. 17:30,오만,1,0,0,-1
08.10. 19:20,홍콩,6,0,0,-6
05.03. 18:00,쿠웨이트,0,1,2,1
29.01. 00:15,일본,1,0,0,-1
29.01. 00:00,시리아,0,2,2,2
29.01. 00:00,우즈베키스탄,0,1,2,1
29.01. 00:00,오만,0,1,2,1
28.01. 22:15,홍콩,1,0,0,-1
28.01. 21:30,호주,0,0,1,0
28.01. 20:30,요르단,2,1,0,-1
28.01. 20:30,이란,0,0,1,0
21.01. 21:45,아랍에미리트,0,5,2,5
21.01. 20:35,베트남,6,1,0,-5
21.01. 20:30,바레인,1,3,2,2
20.01. 19:20,예멘,2,1,0,-1
20.01. 00:30,인도네시아,0,0,1,0
15.01. 00:00,태국,0,0,1,0
14.01. 21:00,레바논,3,1,0,-2
14.01. 21:00,중국,3,2,0,-1
14.01. 20:30,싱가포르,6,0,0,-6
23.04. 20:00,레바논 ,1,2,2,1
10.04. 00:00,몰디브,4,0,0,-4
