경기날짜,팀,팀1점수,팀2점수,승패,점수차
30.01. 00:00,호주,0,1,0,-1
29.01. 00:00,우즈베키스탄,2,3,0,-1
26.01. 01:25,우즈베키스탄,0,6,0,-6
25.01. 22:25,일본 ,3,2,2,1
23.01. 01:25,이란,0,1,0,-1
22.01. 22:25,호주 ,1,0,2,1
22.01. 01:25,우즈베키스탄 ,2,1,2,1
21.01. 22:25,일본 ,3,2,2,1
20.01. 01:15,아랍에미리트,0,3,0,-3
20.01. 01:15,이라크,1,0,2,1
18.01. 22:15,대한민국,4,1,2,3
18.01. 22:15,호주,1,0,2,1
17.01. 22:15,사우디아라비아,0,5,0,-5
17.01. 22:15,요르단,2,1,2,1
17.01. 01:15,중국,2,2,1,0
17.01. 01:15,카타르,3,0,2,3
16.01. 01:15,아랍에미리트,0,1,0,-1
15.01. 22:15,이란,1,0,2,1
15.01. 01:15,바레인,5,2,2,3
14.01. 22:15,호주,1,1,1,0
14.01. 01:15,시리아,1,2,0,-1
13.01. 22:15,요르단,1,0,2,1
13.01. 01:15,중국,0,2,0,-2
12.01. 22:15,우즈베키스탄,2,1,2,1
12.01. 01:15,이라크,1,2,0,-1
11.01. 22:15,북한,0,0,1,0
11.01. 01:15,대한민국,2,1,2,1
10.01. 22:15,인도,0,4,0,-4
10.01. 01:15,사우디아라비아,1,2,0,-1
09.01. 22:15,일본,1,1,1,0
08.01. 22:15,쿠웨이트,0,2,0,-2
08.01. 01:15,카타르,0,2,0,-2
04.03. 01:00,요르단,2,1,2,1
04.03. 01:00,이란,1,0,2,1
04.03. 00:30,오만,0,0,1,0
03.03. 22:00,우즈베키스탄,0,1,0,-1
03.03. 21:30,시리아,4,0,2,4
03.03. 21:00,홍콩,0,0,1,0
03.03. 19:00,일본,2,0,2,2
03.03. 18:00,호주,1,0,2,1
20.01. 22:15,예멘,3,0,2,3
17.01. 21:00,베트남,1,2,0,-1
07.01. 00:00,바레인,4,0,2,4
07.01. 00:00,아랍에미리트,1,0,2,1
06.01. 23:30,쿠웨이트,2,2,1,0
06.01. 22:15,예멘,2,3,0,-1
06.01. 21:15,레바논,1,1,1,0
06.01. 21:00,태국,0,0,1,0
06.01. 20:30,싱가포르,1,3,0,-2
06.01. 20:30,인도네시아,1,2,0,-1
06.01. 20:30,중국,0,0,1,0
23.11. 01:00,요르단,1,0,2,1
22.11. 21:05,중국,1,0,2,1
18.11. 23:45,바레인,4,0,2,4
18.11. 21:00,시리아,0,0,1,0
18.11. 20:30,인도네시아,1,1,1,0
18.11. 20:30,태국,0,1,0,-1
18.11. 19:30,홍콩,0,4,0,-4
18.11. 18:30,말레이시아,1,3,0,-2
15.11. 00:40,쿠웨이트,2,1,2,1
15.11. 00:00,레바논,0,2,0,-2
14.11. 23:30,이란,1,0,2,1
14.11. 23:00,오만,1,2,0,-1
14.11. 21:00,베트남,0,1,0,-1
14.11. 20:30,싱가포르,1,3,0,-2
14.11. 20:00,우즈베키스탄,3,1,2,2
14.10. 17:30,호주,1,0,2,1
08.10. 19:20,일본,6,0,2,6
05.03. 18:00,호주,0,1,0,-1
29.01. 00:15,바레인,1,0,2,1
29.01. 00:00,레바논,0,2,0,-2
29.01. 00:00,아랍에미리트,0,1,0,-1
29.01. 00:00,쿠웨이트,0,1,0,-1
28.01. 22:15,예멘,1,0,2,1
28.01. 21:30,인도네시아,0,0,1,0
28.01. 20:30,싱가포르,2,1,2,1
28.01. 20:30,태국,0,0,1,0
21.01. 21:45,말레이시아,0,5,0,-5
21.01. 20:35,중국,6,1,2,5
21.01. 20:30,홍콩,1,3,0,-2
20.01. 19:20,일본,2,1,2,1
20.01. 00:30,오만,0,0,1,0
15.01. 00:00,요르단,0,0,1,0
14.01. 21:00,베트남,3,1,2,2
14.01. 21:00,시리아,3,2,2,1
