age,cap,goal,height,name,nation,salary
25,5,0,175,MustafaAminiM.,australia,540
26,45,9,188,TomRogicTom,australia,248000
30,73,5,179,RobbieKruseR.,australia,675
23,10,2,180,ChristopherOikonomidisC.,australia,360
28,59,9,181,MathewLeckieM.,australia,270000
23,7,4,179,AwerMabilA.,australia,135000
25,11,1,179,JamieMaclarenJ.,australia,720
26,8,2,175,AndrewNabboutA.,australia,540
29,8,2,185,ApostolosGiannouA.,australia,540
28,31,0,195,TouficAli,palastine,90
24,0,0,185,AmrKaddouraA.,palastine,90
24,16,0,183,RamiHamadaR.,palastine,90
32,16,0,181,TamerSalahT.,palastine,90
34,5,0,191,DanielMustafáD.,palastine,180
34,58,8,188,AbdelatifAl,palastine,90
25,10,0,186,MohammedSalehM.,palastine,68
34,17,1,173,AlexisNorambuenaA.,palastine,180
25,48,2,175,AbdallahJaberA.,palastine,90
25,31,1,168,Mus'abAl,palastine,90
29,19,1,172,PabloTamburriniP.,palastine,180
23,7,0,183,MohammedBassimM.,palastine,125
27,25,0,184,MohammedDarwishM.,palastine,125
26,17,0,182,ShadiShabanS.,palastine,68
27,2,1,180,NazmiAlbadawiN.,palastine,315
26,21,9,180,JonathanCantillanaJ.,palastine,180
29,24,3,188,KhaledSalemK.,palastine,90
26,32,5,186,TamerSeyamT.,palastine,203
20,9,1,182,OdayDabbaghO.,palastine,125
28,13,6,182,YashirIslameY.,palastine,135
32,14,3,172,JakaIhbeishehJ.,palastine,23
24,5,0,188,MahmoudWadiM.,palastine,135
26,29,9,180,SamehMaraabaS.,palastine,125
27,38,0,185,IbrahimAlmaI.,syria,450
29,4,0,179,AhmadMadaniaA.,syria,45
31,4,0,179,MahmoudAl,syria,68747
28,42,2,185,AhmadAl,syria,405
25,26,1,180,OmarAl,syria,225
31,5,0,186,JihadAl,syria,180
25,39,1,173,MoayadAjanMoayad,syria,315
33,41,3,179,NadimSabaghN.,syria,90
26,14,1,176,AmroJenyatA.,syria,68747
26,15,0,179,HusseinAl,syria,68747
29,7,0,175,AbdulMalek,syria,68747
30,20,1,182,TamerHaj,syria,68747
29,47,0,178,ZaherMidaniZ.,syria,68747
23,8,0,180,AhmedAshkarA.,syria,68747
26,27,1,180,KhaledAl,syria,68747
25,8,0,183,MohammedOsmanM.,syria,113000
31,17,0,170,FahdYoussefF.,syria,68747
25,12,0,176,YoussefKalfaY.,syria,540
27,25,5,173,OsamaOmariO.,syria,450
26,49,7,170,MahmoudAl,syria,405
25,38,18,184,OmarKhrbinO.,syria,171000
29,20,8,192,OmarAl,syria,675000
26,20,3,180,MardigMardigianM.,syria,360
27,11,0,189,Hyeon-uhJoH.,south-korea,135000
28,36,0,187,Seung-gyuKimS.,south-korea,108000
31,16,0,192,Jin-hyeonKimJ.,south-korea,900
22,11,0,190,Min-jaeKimM.,south-korea,108000
27,6,1,188,Kyung-wonKwonK.,south-korea,900
24,8,0,188,Seung-hyeonJungS.,south-korea,810
28,62,3,184,Young-gwonKimY.,south-korea,765
26,34,0,177,Jin-suKimJ.,south-korea,158000
28,21,0,176,CheolHongC.,south-korea,675
32,37,0,180,YongLeeYong,south-korea,450
23,4,0,173,Mun-hwanKimM.,south-korea,293
29,33,1,186,Woo-youngJungW.,south-korea,720
28,15,1,174,Se-jongJuS.,south-korea,675
22,12,1,177,In-beomHwangI.,south-korea,225
26,42,7,180,Jae-sungLeeJ.,south-korea,180000
30,81,8,180,Chung-yongLeeC.,south-korea,135000
26,72,23,184,Heung-minSonH.,south-korea,4500000
21,6,0,173,Seung-wooLeeS.,south-korea,108000
23,24,2,177,Hee-chanHwangH.,south-korea,450000
26,17,4,184,Ui-joHwangU.,south-korea,149000
27,55,11,187,Dong-wonJiD.,south-korea,900
28,22,0,192,JunlingYanJ.,china,720
30,26,0,187,DaleiWangD.,china,675
31,0,0,192,LuZhangLu,china,405
23,13,0,190,YimingLiuY.,china,540
26,9,0,184,KeShiKe,china,540
29,14,0,183,YangYuYang,china,495
33,75,1,186,XiaotingFengX.,china,450
23,7,0,184,YangLiuYang,china,338
29,72,5,185,LinpengZhangL.,china,675
