age,cap,name,club,nation,height,salary
21,17,Shinji Kagawa,Borussia Dortmund,japan,175,225000
29,7,Ryoichi Maeda,Júbilo Iwata,japan,184,234000
24,0,Ryota Moriwaki,Sanfrecce Hiroshima,japan,177,675
24,3,Hajime Hosogai,FC Augsburg,japan,177,108000
26,6,Jungo Fujimoto,Shimizu S-Pulse,japan,173,900
25,0,Takuya Honda,Shimizu S-Pulse,japan,177,540
23,1,Yosuke Kashiwagi,Urawa Red Diamonds,japan,176,171000
26,37,Makoto Hasebe,VfL Wolfsburg,japan,180,405000
24,23,Keisuke Honda,CSKA Moscow,japan,182,540000
25,0,Tadanari Lee,Sanfrecce Hiroshima,japan,182,630
27,1,Mitsuru Nagata,Urawa Red Diamonds,japan,183,630
24,3,Shusaku Nishikawa,Sanfrecce Hiroshima,japan,183,108000
22,1,Maya Yoshida,VVV-Venlo,japan,189,126000
21,1,Shuichi Gonda,F.C. Tokyo,japan,187,900
28,77,Amer Shafi,Al-Wehdat,jordan,190,180
28,41,Mohammad Muneer,Tishreen,jordan,177,180
23,17,Suleiman Al-Salman,Al-Ramtha,jordan,171,180
24,26,Baha' Abdul-Rahman,Al-Faisaly,jordan,178,180
23,6,Mohammad Al-Dmeiri,Al-Wehdat,jordan,184,180
20,2,Saeed Murjan,Al-Arabi,jordan,183,180
30,79,Amer Deeb,Al-Wehdat,jordan,174,180
33,87,Bashar Bani Yaseen,Al-Jazeera,jordan,174,180
24,37,Odai Al-Saify,Alki Larnaca,jordan,180,450
27,18,Mo'ayyad Abu Keshek,Al-Faisaly,jordan,178,180
22,28,Ra'ed Al-Nawateer,Al-Jazeera,jordan,172,180
33,31,Lo'ai Al-Amaireh,Al-Faisaly,jordan,178,180
19,2,Hamza Al-Dardour,Al-Ramtha,jordan,172,180
23,42,Abdallah Deeb,Shabab Al-Ordon,jordan,184,180
29,14,Shadi Abu Hash'hash,Al Taawon,jordan,184,180
28,51,Basem Fat'hi,Al-Wehdat,jordan,180,180
32,91,Hatem Aqel,Al-Raed,jordan,178,180
28,55,Hassan Abdel-Fattah,Al-Wehdat,jordan,177,180
22,30,Anas Bani Yaseen,Najran,jordan,188,180
22,6,Alaa' Al-Shaqran,Shabab Al-Ordon,jordan,175,180
24,24,Ahmad Abdel-Halim,Al-Wehdat,jordan,179,180
28,4,Moataz Yaseen,Shabab Al-Ordon,jordan,188,180
22,7,Anas Hijah,Al-Faisaly,jordan,174,180
24,34,Waleed Abdullah,Al-Shabab,saudi,196,540
25,28,Abdullah Shuhail,Al-Shabab,saudi,167,630
26,54,Osama Hawsawi,Al-Hilal,saudi,187,900
28,54,Hamad Al-Montashari,Al-Ittihad,saudi,180,720
26,38,Osama Al-Muwallad,Al-Ittihad,saudi,181,630
25,30,Ahmed Otaif,Al-Shabab,saudi,170,540
28,12,Kamel Al-Mousa,Al-Ahli,saudi,182,540
30,4,Manaf Abushgeer,Al-Ittihad,saudi,165,540
21,14,Naif Hazazi,Al-Ittihad,saudi,181,108000
30,68,Mohammad Al-Shalhoub,Al-Hilal,saudi,163,900
27,28,Nasser Al-Shamrani,Al-Shabab,saudi,173,162000
27,6,Mishaal Al-Saeed,Al-Ittihad,saudi,180,225
23,1,Moataz Al-Musa,Al-Ahli,saudi,177,540
30,46,Saud Khariri,Al-Ittihad,saudi,184,117000
26,50,Abdoh Otaif,Al-Shabab,saudi,172,720
21,6,Abdullaziz Al-Dosari,Al-Hilal,saudi,173,540
26,52,Taisir Al-Jassim,Al-Ahli,saudi,169,675
20,6,Nawaf Al Abed,Al-Hilal,saudi,170,540
27,0,Mohammed Massad,Al-Ahli,saudi,177,158
28,92,Yasser Al-Qahtani,Al Hilal,saudi,176,180000
31,36,Mabrouk Zaid,Al-Ittihad,saudi,185,450
21,0,Hussain Shae'an,Al-Shabab,saudi,190,540
21,16,Mohannad Asseri,Al-Wahda,saudi,172,270
27,72,Mosab Balhous,Al-Karamah,syria,186,45
27,24,Belal Abduldaim,Al-Karamah,syria,180,113
28,80,Ali Diab,Al-Shorta,syria,186,113
23,2,Jehad Al Baour,Al-Jaish,syria,186,113
28,70,Feras Esmaeel,Al-Jaish,syria,182,113
28,72,Jehad Al Hussain,Al-Qadsia,syria,168,113
24,33,Abdelrazaq Al Hussain,Al-Karamah,syria,185,113
20,5,Taha Dyab,Al-Ittihad,syria,182,113
23,5,Qusay Habib,Al-Shorta,syria,180,113
27,49,Firas Al Khatib,Al-Qadsia,syria,174,113
26,29,Adel Abdullah,Al-Karamah,syria,180,113
27,45,Mohamed Al Zeno,Al-Karamah,syria,184,113
25,5,Nadim Sabagh,Al-Jaish,syria,179,113
25,43,Wael Ayan,Al-Faisaly,syria,171,68
21,0,Ahmad Al Salih,Al-Jaish,syria,185,113
31,25,Radwan Al Azhar,Al-Majd,syria,175,113
25,37,Abdulkader Dakka,Al-Ittihad,syria,182,90
26,32,Abdul Fattah Al Agha,Wadi Degla,syria,181,90
26,7,Sanharib Malki Sabah,KSC Lokeren,syria,179,900
31,7,Louay Chanko,AaB,syria,173,135000
24,9,Burhan Sahyouni,Al-Jaish,syria,170,90
26,3,Adnan Al Hafez,Al-Wahda,syria,184,113
28,11,Samer Awad,Al-Majd,syria,179,113
26,24,Jung Sung-ryong,Suwon Samsung Bluewings,south_korea,191,810
27,10,Choi Hyo-jin,Sangju Sangmu Phoenix,south_korea,172,108000
29,4,Hwang Jae-won,Suwon Samsung Bluewings,south_korea,186,270
27,39,Cho Yong-hyung,Al-Rayyan,south_korea,172,162000
29,16,Kwak Tae-hwi,Kyoto Sanga F.C.,south_korea,188,900
24,1,Lee Yong-rae,Suwon Samsung Bluewings,south_korea,175,765
29,95,Park Ji-sung,Manchester United,south_korea,178,1035000
20,3,Yoon Bit-garam,Gyeongnam FC,south_korea,178,765
22,2,Yoo Byung-soo,Incheon United,south_korea,185,360
19,1,Ji Dong-won,Chunnam Dragons,south_korea,187,765
18,1,Son Heung-min,Hamburger SV,south_korea,184,765
33,121,Lee Young-pyo,Al-Hilal,south_korea,176,162000
21,10,Koo Ja-cheol,Jeju United,south_korea,182,180
30,33,Lee Jung-soo,Al-Sadd,south_korea,185,180000
21,3,Hong Jeong-ho,Jeju United,south_korea,186,765
21,30,Ki Sung-yueng,Celtic,south_korea,186,270000
22,31,Lee Chung-yong,Bolton Wanderers,south_korea,180,270000
21,8,Kim Bo-kyung,Cerezo Osaka,south_korea,178,270
27,39,Yeom Ki-hun,Suwon Samsung Bluewings,south_korea,182,675
22,3,Kim Shin-wook,Ulsan Hyundai,south_korea,197,765
31,21,Kim Yong-dae,FC Seoul,south_korea,190,360
30,52,Cha Du-ri,Celtic,south_korea,181,113000
23,0,Kim Jin-hyeon,Cerezo Osaka,south_korea,192,540
38,82,Mark Schwarzer,Fulham,Australia,194,360000
32,63,Lucas Neill,Galatasaray,Australia,185,360000
27,32,David Carney,Blackpool,Australia,183,675
31,46,Tim Cahill,Everton,Australia,180,1440000
30,56,Jason Čulina,Gold Coast United,Australia,175,135000
