랭킹,국가,점수
1,스페인,1624
2,네덜란드,1425
3,독일,1352
4,우루과이,1230
5,브라질,1144
6,이탈리아,1135
7,잉글랜드,1101
8,그리스,1044
8,포르투갈,1044
10,아르헨티나,1030
10,덴마크,1030
12,크로아티아,1015
13,러시아,975
14,스웨덴,955
15,프랑스,953
16,칠레,941
17,일본,924
18,스위스,920
19,코트디부아르,898
20,오스트레일리아,868
21,보스니아헤르체고비나,864
22,멕시코,860
23,세르비아,854
24,노르웨이,838
25,아일랜드,812
26,터키,803
27,슬로베니아,787
28,파라과이,785
29,이집트,775
30,콜롬비아,757
31,한국,754
32,페루,746
33,가나,734
34,미국,720
35,알제리,713
36,헝가리,701
37,벨기에,670
38,이스라엘,669
39,몬테네그로,655
40,베네수엘라,632
41,슬로바키아,629
42,이란,626
42,세네갈,626
44,나이지리아,625
45,웨일즈,619
46,아르메니아,608
47,카메룬,600
47,체코,600
49,남아프리카 공화국,595
50,자메이카,592
51,스코틀랜드,581
52,에콰도르,580
53,파나마,579
54,부르키나 파소,578
55,루마니아,575
56,모로코,566
57,온두라스,555
58,우크라이나,551
59,에스토니아,542
60,튀니지,541
61,벨로루시,529
62,코스타리카,522
63,시에라리온,519
64,폴란드,506
65,리비아,504
66,카보베르데,500
67,그루지야,475
68,가봉,473
68,말리,473
70,중국,463
71,알바니아,462
72,오스트리아,458
73,우즈베키스탄,452
74,짐바브웨,448
75,기니,447
75,불가리아,447
75,라트비아,447
78,핀란드,438
79,트리니다드토바고,433
80,잠비아,432
81,요르단,428
82,엘살바도르,426
83,캐나다,425
84,북아일랜드,421
85,리투아니아,416
86,앙골라,404
87,말라위,400
88,우간다,393
89,보츠와나,386
90,앤티가바부다,381
91,이라크,379
92,카타르,371
93,마케도니아,361
94,토고,359
95,니제르,352
96,쿠웨이트,350
97,가이아나,346
98,사우디아라비아,341
99,과테말라,340
100,쿠바,332
101,바레인,324
102,수단,323
103,오만,317
104,수리남,313
105,뉴질랜드,310
106,시리아,309
107,아이티,307
108,아이슬란드,300
109,세인트키츠네비스,289
110,모잠비크,281
111,감비아,280
112,르완다,277
113,아랍에미리트,276
114,태국,275
115,볼리비아,273
116,그레나다,270
117,아제르바이잔,265
118,룩셈부르크,263
119,베냉,260
120,키프로스,259
121,라이베리아,258
122,페로 제도,257
123,몰도바,255
124,북한,254
125,중앙아프리카공화국,251
126,리히텐슈타인,249
127,나미비아,248
128,도미니카공화국,245
129,카자흐스탄,235
130,타지키스탄,232
131,탄자니아,231
132,버뮤다,225
133,콩고민주공화국,223
134,베트남,222
135,케냐,205
136,에티오피아,201
137,푸에르토리코,199
138,콩고공화국,187
139,싱가포르,185
140,인도네시아,184
141,방글라데시,183
141,부룬디,183
143,벨리즈,177
144,네팔,176
145,투르크메니스탄,172
146,세인트빈센트그레나딘,171
146,레바논,171
148,바베이도스,164
149,피지,158
149,예멘,158
151,말레이시아,155
152,도미니카연방,151
152,차드,151
154,바하마,141
155,적도기니아,140
156,뉴 칼레도니아,128
156,중국 홍콩,128
158,필리핀,127
158,몰타,127
160,니카라과,115
160,인도,115
162,몰디브,114
162,레소토,114
164,팔레스타인,112
165,마다가스카르,111
166,중국 대북,108
167,몽골,106
167,기니비사우,106
169,버진아일랜드(미국령),104
170,미얀마,101
171,Curacao,99
172,아루바,92
173,파키스탄,91
174,바누아투,88
175,스와질란드,87
176,캄보디아,85
177,스리랑카,83
178,세이셸,82
179,세인트루시아,78
180,솔로몬제도,75
181,라오스,74
182,타히티,73
183,코모로,72
184,아프가니스탄,69
185,케이맨제도,51
186,키르기즈스탄,49
187,괌,36
188,파푸아뉴기니,34
189,모리셔스,32
190,에리트레아,28
191,중국 마카오,25
192,영국령 버진아일랜드,23
192,소말리아,23
194,터크스케이커스제도,13
195,지부티,12
196,쿡제도,10
197,앵귈라,9
197,브루나이,9
199,부탄,6
200,모리타니아,4
201,통가,3
201,동티모르,3
203,아메리칸 사모아,0
203,사모아,0
203,몬세라트산,0
203,안도라,0
203,산마리노,0
