0,1,2,3
31.01. 18:00,대한민국,호주 ,"1 : 2"
30.01. 18:00,이라크 ,아랍에미리트 ,2 : 3
27.01. 18:00,호주 ,아랍에미리트,2 : 0
26.01. 18:00,대한민국 ,이라크,2 : 0
23.01. 18:30,일본,아랍에미리트 ,"1 : 2"
23.01. 15:30,이란 ,이라크 ,"3 : 4"
22.01. 19:30,중국,호주 ,0 : 2
22.01. 16:30,대한민국 ,우즈베키스탄,"2 : 0"
20.01. 18:00,이라크,팔레스타인,2 : 0
20.01. 18:00,일본,요르단,2 : 0
19.01. 18:00,이란,아랍에미리트,1 : 0
19.01. 18:00,카타르,바레인,1 : 2
18.01. 18:00,우즈베키스탄,사우디아라비아,3 : 1
18.01. 18:00,중국,북한,2 : 1
17.01. 18:00,오만,쿠웨이트,1 : 0
17.01. 18:00,호주,대한민국,0 : 1
16.01. 18:00,이라크,일본,0 : 1
16.01. 16:00,팔레스타인,요르단,1 : 5
15.01. 18:00,카타르,이란,0 : 1
15.01. 16:00,바레인,아랍에미리트,1 : 2
14.01. 18:00,중국,우즈베키스탄,2 : 1
14.01. 16:00,북한 ,사우디아라비아,1 : 4
13.01. 18:00,오만,호주,0 : 4
13.01. 16:00,쿠웨이트,대한민국,0 : 1
12.01. 18:00,요르단 ,이라크,0 : 1
12.01. 16:00,일본,팔레스타인 ,4 : 0
11.01. 18:00,이란,바레인,2 : 0
11.01. 16:00,아랍에미리트,카타르,4 : 1
10.01. 18:00,사우디아라비아,중국,0 : 1
10.01. 16:00,우즈베키스탄,북한,1 : 0
10.01. 14:00,대한민국,오만,1 : 0
09.01. 18:00,호주,쿠웨이트,4 : 1
06.03. 02:30,사우디아라비아,인도네시아,1 : 0
06.03. 00:25,카타르,바레인,0 : 0
05.03. 23:00,베트남,홍콩,3 : 1
05.03. 23:00,예멘,말레이시아 ,1 : 2
05.03. 23:00,요르단 ,시리아,2 : 1
05.03. 23:00,이라크,중국,3 : 1
05.03. 23:00,태국,레바논,2 : 5
05.03. 22:30,오만,싱가포르,3 : 1
05.03. 21:00,우즈베키스탄 ,아랍에미리트,1 : 1
03.03. 23:00,이란,쿠웨이트,3 : 2
04.02. 20:30,싱가포르 ,요르단 ,1 : 3
31.01. 23:30,오만,요르단,0 : 0
20.11. 00:35,쿠웨이트,태국,3 : 1
20.11. 00:30,레바논,이란,1 : 4
20.11. 00:30,아랍에미리트,베트남 ,5 : 0
19.11. 23:45,바레인,예멘,2 : 0
19.11. 21:45,말레이시아,카타르,0 : 1
19.11. 21:00,인도네시아,이라크,0 : 2
19.11. 21:00,홍콩 ,우즈베키스탄,0 : 2
19.11. 20:35,중국,사우디아라비아,0 : 0
19.11. 19:30,시리아,오만,0 : 1
16.11. 01:30,사우디아라비아,이라크,2 : 1
16.11. 00:35,쿠웨이트,레바논,0 : 0
16.11. 00:30,아랍에미리트,홍콩,4 : 0
15.11. 23:45,바레인,말레이시아,1 : 0
15.11. 21:00,베트남 ,우즈베키스탄,0 : 3
15.11. 21:00,예멘 ,카타르,1 : 4
15.11. 21:00,태국 ,이란,0 : 3
15.11. 20:35,중국,인도네시아,1 : 0
15.11. 19:30,시리아,싱가포르,4 : 0
16.10. 01:30,이라크,사우디아라비아,0 : 2
16.10. 00:30,이란,태국,2 : 1
16.10. 00:00,요르단,오만,0 : 0
15.10. 23:30,레바논,쿠웨이트,1 : 1
15.10. 22:00,우즈베키스탄,베트남,3 : 1
15.10. 21:45,바레인,말레이시아,1 : 1
15.10. 21:00,인도네시아,중국,1 : 1
15.10. 21:00,홍콩,아랍에미리트,0 : 4
15.10. 20:30,싱가포르,시리아,2 : 1
14.10. 01:30,카타르,예멘 ,6 : 0
15.08. 23:30,시리아,요르단,1 : 1
14.08. 20:30,싱가포르,오만,0 : 2
27.03. 01:35,쿠웨이트,이란,1 : 1
23.03. 21:00,인도네시아,사우디아라비아,1 : 2
23.03. 00:45,바레인,카타르,1 : 0
23.03. 00:30,레바논,태국,5 : 2
22.03. 22:45,아랍에미리트,우즈베키스탄,2 : 1
22.03. 21:45,말레이시아,예멘,2 : 1
22.03. 21:00,홍콩,베트남,1 : 0
22.03. 20:35,중국,이라크 ,1 : 0
07.02. 02:15,사우디아라비아,중국,2 : 1
07.02. 00:30,카타르,말레이시아,2 : 0
07.02. 00:15,예멘,바레인,0 : 2
06.02. 23:00,요르단,싱가포르,4 : 0
06.02. 22:30,이라크,인도네시아,1 : 0
06.02. 22:15,오만,시리아,1 : 0
06.02. 21:00,이란,레바논 ,5 : 0
06.02. 21:00,태국,쿠웨이트,1 : 3
06.02. 20:00,베트남,아랍에미리트,1 : 2
06.02. 20:00,우즈베키스탄,홍콩 ,0 : 0
