age,cap,name,club,nation
28,41,Mohammad Muneer,Tishreen,jordan
23,17,Suleiman Al-Salman,Al-Ramtha,jordan
24,26,Baha' Abdul-Rahman,Al-Faisaly,jordan
23,6,Mohammad Al-Dmeiri,Al-Wehdat,jordan
20,2,Saeed Murjan,Al-Arabi,jordan
30,79,Amer Deeb,Al-Wehdat,jordan
33,87,Bashar Bani Yaseen,Al-Jazeera,jordan
24,37,Odai Al-Saify,Alki Larnaca,jordan
27,18,Mo'ayyad Abu Keshek,Al-Faisaly,jordan
22,28,Ra'ed Al-Nawateer,Al-Jazeera,jordan
33,31,Lo'ai Al-Amaireh,Al-Faisaly,jordan
19,2,Hamza Al-Dardour,Al-Ramtha,jordan
23,42,Abdallah Deeb,Shabab Al-Ordon,jordan
29,14,Shadi Abu Hash'hash,Al Taawon,jordan
28,51,Basem Fat'hi,Al-Wehdat,jordan
32,91,Hatem Aqel,Al-Raed,jordan
28,55,Hassan Abdel-Fattah,Al-Wehdat,jordan
22,30,Anas Bani Yaseen,Najran,jordan
22,6,Alaa' Al-Shaqran,Shabab Al-Ordon,jordan
24,24,Ahmad Abdel-Halim,Al-Wehdat,jordan
28,4,Moataz Yaseen,Shabab Al-Ordon,jordan
22,7,Anas Hijah,Al-Faisaly,jordan
24,34,Waleed Abdullah,Al-Shabab,saudi
25,28,Abdullah Shuhail,Al-Shabab,saudi
26,54,Osama Hawsawi,Al-Hilal,saudi
28,54,Hamad Al-Montashari,Al-Ittihad,saudi
26,38,Osama Al-Muwallad,Al-Ittihad,saudi
25,30,Ahmed Otaif,Al-Shabab,saudi
28,12,Kamel Al-Mousa,Al-Ahli,saudi
30,4,Manaf Abushgeer,Al-Ittihad,saudi
21,14,Naif Hazazi,Al-Ittihad,saudi
30,68,Mohammad Al-Shalhoub,Al-Hilal,saudi
27,28,Nasser Al-Shamrani,Al-Shabab,saudi
27,6,Mishaal Al-Saeed,Al-Ittihad,saudi
